"","ans_id","V000","V001","V002_1","V002_2","V002_3","V002_4","V002_o","V002_o1","V003_1","V004_1","V006_1","V006_2","V006_3","V006_4","V006_5","V006_o","V006_o1","V007","V008","V009","V010","V010_o","V011_1","V012_1","V013_1","V015","Leeftijd","Leeftijd_cat","Geslacht","Postcode"
"238",26080,1,4,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"geen",64,3,2,5165
"239",21942,1,1,0,0,0,1,0,"",2,2,0,0,0,0,0,1,"Eerlijke handel",2,4,3,1,"",NA,NA,NA,"Geen",55,3,2,6581
"240",15997,1,2,1,1,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,2,1,"",NA,NA,NA,"Waar het vandaan komt, fair-trade",36,2,1,2531
"241",27229,1,2,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Geen",64,3,2,3769
"242",27218,1,1,0,0,0,1,0,"",1,2,1,1,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"prijs",62,3,1,5684
"243",14092,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,2,3,1,"",NA,NA,NA,"Geen",45,2,2,5845
"244",27643,1,6,0,1,0,1,0,"",2,2,1,1,0,0,0,0,"",1,3,4,1,"",NA,NA,NA,"Als wielrenner ben ik ge<ef>nteresseerd in bananen die voldoende rijp zijn en daardoor voldoende suikers bevatten. De bananen die op het moment van kopen het best aan dat criterium voldoen, koop ik.",59,3,1,3451
"245",26002,1,5,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,2,2,1,"",NA,NA,NA,"Welke bestrijdingsmiddelen de boeren gebruiken. En of er bos/oerwoud gekapt wordt om bananenplantages te maken.",60,3,2,6371
"246",26841,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,5,1,"",NA,NA,NA,"GEEN ENKEL",55,3,2,1033
"247",29074,1,2,1,0,0,0,0,"",2,2,1,1,0,0,1,0,"",2,4,3,1,"",NA,NA,NA,"Geen",67,3,1,5803
"248",23026,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,1,2,1,"",NA,NA,NA,"Land van herkomst, arbeidsomstandigheden",67,3,1,9675
"249",19959,1,2,1,0,0,0,0,"",1,1,1,0,1,0,0,0,"",1,4,1,1,"",NA,NA,NA,"Waar van daar komen",69,3,1,6418
"250",29361,1,1,0,0,0,1,0,"",2,2,1,1,0,1,1,0,"",1,4,2,1,"",NA,NA,NA,"Of de boeren een goede prijs ktijgen",66,3,2,7031
"251",25043,1,3,0,0,0,1,0,"",2,2,0,1,0,0,0,0,"",1,4,4,1,"",NA,NA,NA,"Geen,Ik koop ze om te eten, niet voor informatie.",71,3,1,3401
"252",29504,1,4,1,1,0,1,0,"",2,2,1,1,0,0,0,0,"",2,2,1,1,"",NA,NA,NA,"Hoe men in het land van herkomst met de boeren om gaan",72,3,2,7831
"253",20578,1,2,1,0,0,0,0,"",2,2,1,1,1,1,1,0,"",1,4,2,1,"",NA,NA,NA,"herkomst, pesticide gebruik, eerlijke prijs boeren",60,3,1,3560
"254",20562,1,2,0,0,1,0,0,"",NA,NA,1,1,1,0,1,0,"",1,3,2,1,"",NA,NA,NA,"Geen",74,3,1,2352
"255",23478,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,2,3,1,"",NA,NA,NA,"geen - vertrouw op informatie winkels
",63,3,1,4051
"256",22377,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"Eventueel als ik zin en tijd heb waar deze vandaan komen.
Dat kan je ook vaak zien aan de fruitsticker.",70,3,1,1109
"257",18699,1,1,0,1,0,0,0,"",2,2,1,1,0,0,0,0,"",1,2,3,1,"",NA,NA,NA,"geen informatie. Ik vertrouw op een goede inkoop",42,2,2,8415
"258",25557,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Afkomst",69,3,2,6097
"259",22896,1,3,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"Geen",83,3,1,2935
"260",20913,1,2,1,0,0,1,0,"",2,1,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Geen",68,3,2,3123
"261",19305,1,5,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"geen",46,2,2,4273
"262",22642,1,1,1,0,0,0,0,"",2,2,1,0,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"Geen enkele",82,3,1,2641
"263",24013,1,2,0,0,0,1,0,"",2,2,1,1,0,0,1,0,"",2,4,3,1,"",NA,NA,NA,"Geen",65,3,2,4333
"264",13607,1,2,0,0,0,1,0,"",2,2,0,1,0,0,0,0,"",1,2,3,1,"",NA,NA,NA,"weinig tot geen",46,2,1,2041
"265",26541,1,4,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,2,3,1,"",NA,NA,NA,"In hoeverre er bestrijdingsmiddelen zijn gebruikt bij de verbouw er van.",72,3,1,7742
"266",21760,1,4,0,0,0,1,0,"",2,1,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Geen",60,3,2,4142
"267",22823,1,5,0,1,0,1,0,"",2,2,1,1,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"Geen",58,3,2,6869
"268",20753,1,4,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",1,1,1,1,"",NA,NA,NA,"Productieproces en vervoer",71,3,1,6373
"269",26836,1,8,0,0,0,1,0,"",2,2,1,0,0,0,1,0,"",2,3,4,1,"",NA,NA,NA,"Niets",67,3,2,2742
"270",28226,1,1,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,2,1,"",NA,NA,NA,"Over de herkomst.",89,3,1,8861
"271",27146,1,4,1,0,0,1,0,"",1,2,1,0,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"waar komen ze vandaan",51,3,1,5685
"272",22459,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"niet",72,3,1,5508
"273",24468,1,3,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Inderdaad waar ze vandaan komen, eerlijke prijs, goed voor betreffende boeren, dus Fairtrade.",57,3,1,5402
"274",25012,1,1,0,1,0,0,0,"",2,1,1,1,0,1,0,0,"",1,2,1,1,"",NA,NA,NA,"Waar deze vandaan komen",68,3,1,2907
"275",28393,1,4,0,0,0,1,0,"",1,1,1,1,1,1,1,0,"",1,1,1,1,"",NA,NA,NA,"Waar ze vandaan komen,uit welk land,en of ze goed behandelt zijn enzo",51,3,2,9602
"276",17365,1,4,0,1,0,0,0,"",2,1,1,1,0,0,0,0,"",1,3,3,1,"",NA,NA,NA,"Goeie vraag. Geen idee. Ik wil niet over alles nadenken of opzoeken wat ik koop. Zou een dagtaak gaan worden",44,2,2,7414
"277",20008,1,4,1,0,0,1,0,"",2,2,1,0,0,0,1,0,"",2,3,4,1,"",NA,NA,NA,"Geen",63,3,1,5038
"278",24974,1,8,0,0,0,1,0,"",1,2,1,0,0,0,0,0,"",2,4,1,1,"",NA,NA,NA,"Land van productie , of de boeren een faire prijs ontvangen , of de boeren ook worden geholpen bij het verzekeren van hun toekomst",63,3,1,3056
"279",23783,1,1,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",2,2,2,1,"",NA,NA,NA,"hoe de leefomstandigheden zijn",72,3,2,2563
"280",21851,1,4,0,0,0,1,0,"",3,2,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Geen, ik vind de smaak, hoe ze eruitzien en de prijs belangrijk verder maakt het mij niet uit waar ze vandaan komen",63,3,2,6871
"281",22739,1,3,0,1,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"waar ze vandaan komen",63,3,1,3274
"282",23294,1,5,0,0,1,0,0,"",NA,NA,1,1,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"hoe het leven van de boeren is.",61,3,2,3043
"283",26443,1,3,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",2,1,2,1,"",NA,NA,NA,"Eigenlijk geen enkele informatie",72,3,2,7482
"284",24069,1,8,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",1,4,2,2,"8",2,2,1,"Waar ze vandaan komen",72,3,1,3583
"285",23375,1,2,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"Ik koop Fairtrade en kijk verder niet waar het vandaan.komt.",70,3,2,6573
"286",25858,1,2,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Nee.",62,3,2,5014
"287",20454,1,8,0,0,0,1,0,"",2,1,1,0,0,0,0,0,"",2,4,2,1,"",NA,NA,NA,"Waar ze vandaan komen",73,3,2,5525
"288",28801,1,3,1,0,0,0,0,"",2,1,1,0,0,1,0,0,"",2,4,3,1,"",NA,NA,NA,"Geen",66,3,1,5988
"289",20329,1,3,0,0,0,1,0,"",2,2,1,0,0,1,0,0,"",1,4,2,1,"",NA,NA,NA,"Herkomst goede beh<e4>ndeling boeren",75,3,1,3343
"290",27510,1,3,0,1,0,0,0,"",2,2,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"De mensen die het verbouwen, en is hun levensstandaard verbeterd",55,3,1,4532
"291",23566,1,6,0,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,4,1,1,"",NA,NA,NA,"geen, ik neem aan dat het label fair trade in orde is",68,3,2,9469
"292",26632,1,3,0,0,0,1,0,"",2,1,1,0,0,0,0,0,"",2,4,2,1,"",NA,NA,NA,"waar ze vandaan komen en door wie geproduceerd",65,3,1,3564
"293",23136,1,2,1,1,0,1,0,"",2,2,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"geen, gaat mij erom dat ze fairtrade zijn",61,3,1,7463
"294",24482,1,4,1,1,0,0,0,"",2,2,1,0,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"Waar vandaan en tegen welke prijs gekocht van de boer",57,3,1,5373
"295",26712,1,3,0,0,0,1,0,"",1,1,1,0,0,0,1,0,"",1,4,2,1,"",NA,NA,NA,"ik zoek geen informatie, lees het etiket verder niets",71,3,2,2014
"296",28467,1,2,0,0,0,1,0,"",2,2,0,0,1,0,0,0,"",2,3,5,1,"",NA,NA,NA,"ik zoek niks op dat interseerd mij niet",51,3,1,2935
"297",26102,1,1,0,0,1,0,0,"",NA,NA,1,0,0,0,0,0,"",2,3,2,1,"",NA,NA,NA,"google zoeken op fairtrade",69,3,1,5283
"298",26221,1,3,0,0,0,1,0,"",2,2,1,1,0,1,0,0,"",1,4,2,1,"",NA,NA,NA,"GEEN",50,3,1,3255
"299",20035,1,1,1,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,3,1,"",NA,NA,NA,"Geen",71,3,1,1023
"300",17372,1,1,0,0,0,1,0,"",2,1,1,0,0,0,0,0,"",2,4,3,1,"",NA,NA,NA,"Helemaal geen info zoeken want koop ze omdat we ze eten en goedkoop zijn",44,2,2,1032
"301",27275,1,2,1,1,0,0,0,"",2,2,1,0,0,0,0,0,"",1,4,3,1,"",NA,NA,NA,"geen want ik ga op mijn zicht en gevoel af",61,3,1,2331
"302",25708,1,10,1,0,0,1,0,"",2,2,1,0,0,0,0,0,"",2,3,4,1,"",NA,NA,NA,"geen",59,3,1,1404
"303",23295,1,2,1,0,0,0,0,"",2,2,1,1,0,0,0,0,"",2,2,3,1,"",NA,NA,NA,"Geen",58,3,2,2313
"304",12572,1,2,1,0,0,0,0,"",2,2,1,1,1,1,1,0,"",1,1,2,1,"",NA,NA,NA,"Op welke manier en waar ze zijn gemaakt.",47,2,2,9079
"305",26469,1,2,0,0,0,1,0,"",2,2,1,1,0,0,0,0,"",1,4,2,1,"",NA,NA,NA,"of ze fairtrade zijn
",74,3,2,5802
"306",28506,1,1,1,1,0,1,0,"",2,2,1,1,0,1,0,0,"",2,3,3,1,"",NA,NA,NA,"Geen info",71,3,2,5036
"307",14978,1,3,0,0,0,1,0,"",2,2,0,1,0,0,0,0,"",2,2,3,1,"",NA,NA,NA,"Eigenlijk niks, ik draag al bij als ik fairtrade bananen koop",47,2,2,7482
