"","ISIN","Country","year","str"
"265","DE0006599905","DE",2017,0.30175
"266","DE0006599905","DE",2016,0.30175
"267","DE0006599905","DE",2015,0.30175
"268","DE0006599905","DE",2014,0.30175
"269","DE0006599905","DE",2013,0.30175
"270","DE0006599905","DE",2012,0.30175
"271","DE000A0D9PT0","DE",2020,0.29897059
"272","DE000A0D9PT0","DE",2019,0.29897059
"273","DE000A0D9PT0","DE",2018,0.29825
"274","DE000A0D9PT0","DE",2017,0.30175
"275","DE000A0D9PT0","DE",2016,0.30175
"276","DE000A0D9PT0","DE",2015,0.30175
"277","DE000A0D9PT0","DE",2014,0.30175
"278","DE000A0D9PT0","DE",2013,0.30175
"279","DE000A0D9PT0","DE",2012,0.30175
"280","DE000PAH0038","DE",2020,0.29897059
"281","DE000PAH0038","DE",2019,0.29897059
"282","DE000PAH0038","DE",2018,0.29825
"283","DE000PAH0038","DE",2017,0.30175
"284","DE000PAH0038","DE",2016,0.30175
"285","DE000PAH0038","DE",2015,0.30175
"286","DE000PAH0038","DE",2014,0.30175
"287","DE000PAH0038","DE",2013,0.30175
"288","DE000PAH0038","DE",2012,0.30175
"289","DE0007164600","DE",2020,0.29897059
"290","DE0007164600","DE",2019,0.29897059
