Column1;ISIN;Company_Name;Country;Component;FF Mcap (BEUR);Factset_sector;Sector;TR_16;TR_17;TR_18;TR_19;TR_20;ctp_16;ctp_17;ctp_18;ctp_19;ctp_20;ptx_inc_16;ptx_inc_17;ptx_inc_18;ptx_inc_19;ptx_inc_20;SUS_ENV;SUS_SOC;SUS_GOV;SUS_CARBON;FTSE_ESG;FTSE_ESG_DATE
621;JP3188220002;OTSUKA HOLDINGS;JP;Large;18;Health Technology;#N/B;23.18332572;-10.29196236;22.01064869;24.39443276;20.13495589;43929;43210;29589;24000;59448;100706;103712;109497;173515;189988;32.98403875;19.260651;12.052575;466892.55;2.9;06/21/2021
622;NO0010096985;EQUINOR;NO;Large;179;Energy Minerals;#N/B;#N/B;66.67170496;61.00199107;81.51840491;#N/B;36836.0284;47663.46449;73334.87124;72935.89313;29501.89327;-495.5142899;109379.6327;151252.1545;80347.43332;-40590.99036;31.823025;10.065212;6.938187;14900000;3.7;06/21/2021
623;GB0007908733;SCOTTISH & SOUTHERN ENERGY;GB;Large;179;Utilities;#N/B;2.084942085;3.637050088;16.20718463;-0.845359064;28.01475674;125.5;98.5;132.2;43;95.8;388.5;1589.2;718.2;1171.1;433.7;30.10685313;6.082591;5.241112;9530000;3.6;06/21/2021
624;BRBBDCACNPR8;BANCO BRADESCO SA - PREF;BR;Large;179;Finance;#N/B;44.09013612;25.68378769;19.6149279;-40.51067596;-228.8652828;9771.075;8575.438;7086.237;8433.279;5715.233;27159.678;20029.024;23946.996;16179.34;5091.348;24.20865;11.299088;11.811563;48680.73;2.9;06/21/2021
625;US5732841060;Martin Marietta Materials Inc.;US;Large;178;Non-Energy Minerals;Materials;29.91361189;-15.26138743;18.34898217;18.2146198;18.91375239;124.342;155.771;28.86;101.7;114.9;607.028;618.928;576.081;748.3;889.3;31.78405172;4.903947;8.985084;5515642.55;2.3;06/21/2021
626;US7607591002;Republic Services Inc.;US;Large;177;Industrial Services;Industrials;36.5151672;0.241790812;21.44749792;17.1322735;15.1483329;265;370;210;31;124;965.9;1282.1;1320.9;1295.8;1142.7;21.07409993;6.006449;3.380400;14173745;2.9;06/21/2021
627;SE0012853455;EQT;SE;Large;177;Finance;#N/B;95.68345324;13.70328426;5.841121495;7.377557347;9.12596401;97.55152847;119.4810867;136.5205237;109.0629378;371.4582216;131.6472083;850.8209644;1317.987612;1707.946784;3265.474536;#N/B;#N/B;#N/B;#N/B;1.8;06/21/2021
628;US4435731009;HUBSPOT;US;Large;177;Technology Services;#N/B;#N/B;#N/B;#N/B;#N/B;#N/B;0.954;0.855;1.842;3.09;2.306;-45.029;-50.039;-61.96;-50.773;-80.815;#N/B;#N/B;#N/B;#N/B;3.3;06/21/2021
629;US74736K1016;QORVO;US;Large;177;Electronic Technology;Information Technology;#N/B;160.6409083;334.9839603;-45.02897856;15.37982581;34.942;52.656;41.478;69.453;55.513;-2.862;27.305;17.145;91.792;395.089;#N/B;#N/B;#N/B;#N/B;2.5;06/21/2021
630;US9553061055;WEST PHARM.SVS.;US;Large;177;Health Technology;Health Care;28.66174921;36.37589928;17.19983382;20.21932831;18.06628458;48.1;31;42;47.5;48.4;189.8;222.4;240.7;291.8;401.3;#N/B;#N/B;#N/B;#N/B;3.3;06/21/2021
