"","company","year","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","doc_id","country","ctrygrp"
"1","BE0003739530",2016,1,0,7,0,0,0,3,2,0,1,0,0,3,0,0,3,4,12,"BE0003739530_2016_SR_0.pdf","BE","EUR"
"2","BE0003739530",2020,2,0,7,0,0,0,1,0,0,1,0,0,2,0,1,6,5,22,"BE0003739530_2020_IR_0.pdf","BE","EUR"
"3","BE0974293251",2016,2,3,0,0,0,5,1,3,0,0,0,0,2,0,3,3,5,8,"BE0974293251_2016_SR_0.pdf","BE","EUR"
"4","BE0974293251",2020,1,0,16,0,2,11,10,4,0,2,0,0,10,0,8,0,8,10,"BE0974293251_2020_IR_0.pdf","BE","EUR"
"5","CH0008742519",2016,0,0,2,1,0,0,53,0,0,0,0,0,5,0,8,3,5,3,"CH0008742519_2016_SR_0.pdf","CH","EUR"
"6","CH0008742519",2020,1,0,0,0,2,0,37,0,0,11,0,1,5,0,9,3,10,13,"CH0008742519_2020_SR_0.pdf","CH","EUR"
"7","CH0012032048",2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,"CH0012032048_2016_IR_0.pdf","CH","EUR"
"8","CH0012032048",2020,0,0,8,1,1,1,9,0,0,1,0,0,4,0,1,2,4,15,"CH0012032048_2020_IR_0.pdf","CH","EUR"
"9","CH0012138530",2016,1,1,0,3,2,0,21,12,1,3,1,0,21,0,33,6,20,12,"CH0012138530_2016_SR_0.pdf","CH","EUR"
"10","CH0012138530",2020,0,1,0,6,4,0,31,11,2,2,1,1,53,1,37,15,22,33,"CH0012138530_2020_SR_0.pdf","CH","EUR"
"11","CH0012214059",2016,1,0,4,2,1,13,7,3,3,2,0,1,12,0,48,4,30,5,"CH0012214059_2016_SR_0.pdf","CH","EUR"
"12","CH0012214059",2020,0,0,0,1,1,0,9,1,3,1,0,0,9,0,16,1,3,0,"CH0012214059_2020_IR_0.pdf","CH","EUR"
"13","CH0012280076",2016,1,0,3,0,0,0,1,0,0,2,0,0,1,0,0,7,3,0,"CH0012280076_2016_IR_0.pdf","CH","EUR"
